Year,Actor,Name
1960,Peter Finch,The Trials of Oscar Wilde
1960,Richard Attenborough,The Angry Silence
1960,Albert Finney,Saturday Night and Sunday Morning
1960,John Fraser,The Trials of Oscar Wilde
1960,Laurence Olivier,The Entertainer
1960,Jack Lemmon,The Apartment
1960,George Hamilton,Crime and Punishment U.S.A.
1960,Burt Lancaster,Elmer Gantry
1960,Fredric March,Inherit the Wind
1960,Yves Montand,Let's Make Love
1961,Peter Finch,No Love for Johnnie
1961,Dirk Bogarde,Victim
1961,Paul Newman,The Hustler
1961,Montgomery Clift,Judgment at Nuremberg
1961,Vladimir Ivashov,Ballada o soldate
1961,Alberto Sordi,The Best of Enemies
1961,Sidney Poitier,A Raisin in the Sun
1961,Philippe Leroy,Le Trou
1962,Peter O'Toole,Lawrence of Arabia
1962,Richard Attenborough,The Dock Brief
1962,Alan Bates,A Kind of Loving
1962,James Mason,Lolita
1962,Laurence Olivier,Term of Trial
1962,Peter Sellers,Only Two Can Play
1962,Burt Lancaster,Birdman of Alcatraz
1962,Jean-Paul Belmondo,"Lon Morin, prtre"
1962,Kirk Douglas,Lonely are the Brave
1962,George Hamilton,Light in the Piazza
1962,Charles Laughton,Advise and Consent
1962,Anthony Quinn,Lawrence of Arabia
1962,Robert Ryan,Billy Budd
1962,Georges Wilson,Une aussi longue absence
1963,Dirk Bogarde,The Servant
1963,Tom Courtenay,Billy Liar
1963,Richard Harris,This Sporting Life
1963,Marcello Mastroianni,Divorzio all'italiana
1963,Franco Citti,Accattone
1963,Howard Da Silva,David and Lisa
1963,Jack Lemmon,Days of Wine and Roses
1963,Paul Newman,Hud
1963,Gregory Peck,To Kill a Mockingbird
1964,Tom Courtenay,King and Country
1964,Peter O'Toole,Becket
1964,The Pink Panther,Inspector Jacques Clouseau
1964,Marcello Mastroianni,"Ieri, oggi, domani"
1964,Cary Grant,Charade
1964,Sterling Hayden,Dr. Strangelove
1964,Sidney Poitier,Lilies of the Field
1965,Dirk Bogarde,Darling
1965,Harry Andrews,The Hill
1965,Michael Caine,The Ipcress File
1965,Rex Harrison,My Fair Lady
1965,Anthony Quinn,Zorba the Greek
1965,Innokenti Smoktunovsky,Hamlet
1965,Oskar Werner,Ship of Fools
1966,Michael Caine,Alfie
1966,Khartoum,William Ewart Gladstone
1966,David Warner,Morgan  A Suitable Case for Treatment
1966,Rod Steiger,The Pawnbroker
1966,Jean-Paul Belmondo,Pierrot le Fou
1966,Sidney Poitier,A Patch of Blue
1966,Oskar Werner,The Spy Who Came in from the Cold
1967,Paul Scofield,A Man for All Seasons
1967,Richard Burton,The Taming of the Shrew
1967,James Mason,The Deadly Affair
1967,Rod Steiger,In the Heat of the Night
1967,Warren Beatty,Bonnie and Clyde
1967,Sidney Poitier,In the Heat of the Night
1967,Orson Welles,Campanadas a medianoche
1968,Spencer Tracy,Guess Who's Coming to Dinner
1968,Trevor Howard,The Charge of the Light Brigade
1968,Ron Moody,Oliver!
1968,Nicol Williamson,The Bofors Gun
1969,Alan Bates,Women in Love
1969,Nicol Williamson,Inadmissible Evidence
1970,Butch Cassidy and the Sundance Kid,Sundance Kid
1970,MASH,Trapper John McIntyre
1970,Paul Newman,Butch Cassidy and the Sundance Kid
1970,George C. Scott,Patton
1971,Peter Finch,Sunday Bloody Sunday
1971,Dirk Bogarde,Morte a Venezia
1971,Albert Finney,Gumshoe
1971,Dustin Hoffman,Little Big Man
1972,The French Connection,"Jimmy ""Popeye"" Doyle"
1972,The Godfather,Vito Corleone
1972,Robert Shaw,Young Winston
1973,Marlon Brando,Ultimo tango a Parigi
1973,Laurence Olivier,Sleuth
1974,Albert Finney,Murder on the Orient Express
1974,Gene Hackman,The Conversation
1974,Al Pacino,Serpico
1975,The Godfather Part II,Michael Corleone
1975,Dog Day Afternoon,Sonny Wortzik
1975,Richard Dreyfuss,Jaws
1975,French Connection II,"Jimmy ""Popeye"" Doyle"
1975,Dustin Hoffman,Lenny
1976,Jack Nicholson,One Flew Over the Cuckoo's Nest
1976,Robert De Niro,Taxi Driver
1976,All the President's Men,Carl Bernstein
1977,Peter Finch,Network
1977,Woody Allen,Annie Hall
1977,Sylvester Stallone,Rocky
1978,Richard Dreyfuss,The Goodbye Girl
1978,Peter Ustinov,Death on the Nile
1978,Anthony Hopkins,Magic
1978,Brad Davis,Midnight Express
1979,Jack Lemmon,The China Syndrome
1979,Woody Allen,Manhattan
1979,Robert De Niro,The Deer Hunter
1979,Martin Sheen,Apocalypse Now
1980,John Hurt,The Elephant Man
1980,Dustin Hoffman,Kramer vs. Kramer
1980,Roy Scheider,All That Jazz
1980,Peter Sellers,Being There
1981,Burt Lancaster,Atlantic City
1981,Robert De Niro,Raging Bull
1981,Bob Hoskins,The Long Good Friday
1981,Jeremy Irons,The French Lieutenant's Woman
1982,Ben Kingsley,Gandhi
1982,Warren Beatty,Reds
1982,Albert Finney,Shoot the Moon
1982,Henry Fonda,On Golden Pond
1982,Jack Lemmon,Missing
1983,Michael Caine,Educating Rita
1983,Dustin Hoffman,Tootsie
1983,Michael Caine,The Honorary Consul
1983,Robert De Niro,The King of Comedy
1984,Haing S. Ngor,The Killing Fields
1985,William Hurt,Kiss of the Spider Woman
1985,F. Murray Abraham,Amadeus
1985,Harrison Ford,Witness
1985,Victor Banerjee,A Passage to India
1986,Bob Hoskins,Mona Lisa
1986,Paul Hogan,Crocodile Dundee
1987,Sean Connery,The Name of the Rose
1987,Gary Oldman,Prick Up Your Ears
1988,John Cleese,A Fish Called Wanda
1988,Michael Douglas,Fatal Attraction
1988,Kevin Kline,A Fish Called Wanda
1988,Robin Williams,"Good Morning, Vietnam"
1989,Daniel Day-Lewis,My Left Foot
1989,Kenneth Branagh,Henry V
1989,Dustin Hoffman,Rain Man
1989,Robin Williams,Dead Poets Society
1990,Philippe Noiret,Cinema Paradiso (Nuovo cinema Paradiso)
1990,Sean Connery,The Hunt for Red October
1990,Tom Cruise,Born on the Fourth of July
1990,Robert De Niro,Goodfellas
1991,Anthony Hopkins,The Silence of the Lambs
1991,Kevin Costner,Dances with Wolves
1991,Grard Depardieu,Cyrano de Bergerac
1991,Alan Rickman,"Truly, Madly, Deeply"
1992,Robert Downey Jr.,Chaplin
1992,Daniel Day-Lewis,The Last of the Mohicans
1992,Stephen Rea,The Crying Game
1992,Tim Robbins,The Player
1993,Anthony Hopkins,Shadowlands
1993,Daniel Day-Lewis,In the Name of the Father
1993,Anthony Hopkins,The Remains of the Day
1993,Liam Neeson,Schindler's List
1994,Hugh Grant,Four Weddings and a Funeral
1994,Tom Hanks,Forrest Gump
1994,Terence Stamp,"The Adventures of Priscilla, Queen of the Desert"
1994,John Travolta,Pulp Fiction
1995,Nigel Hawthorne,The Madness of King George
