year,name,film
1960,Rachel Roberts,Saturday Night and Sunday Morning
1960,Hayley Mills,Pollyanna
1960,Wendy Hiller,Sons and Lovers
1961,Dora Bryan,A Taste of Honey
1961,Deborah Kerr,The Sundowners
1961,Hayley Mills,Whistle Down the Wind
1962,Leslie Caron,The L-Shaped Room
1962,Virginia Maskell,The Wild and the Willing
1962,Janet Munro,Life for Ruth
1963,Rachel Roberts,This Sporting Life
1963,Julie Christie,Billy Liar
1963,Edith Evans,Tom Jones
1963,Sarah Miles,The Servant
1963,Barbara Windsor,Sparrers Can't Sing
1964,Audrey Hepburn,Charade
1964,Rita Tushingham,Girl with Green Eyes
1965,Julie Christie,Darling
1965,Julie Andrews,The Americanization of Emily
1965,Maggie Smith,Young Cassidy
1965,Rita Tushingham,The Knack...and How to Get It
1966,Elizabeth Taylor,Who's Afraid of Virginia Woolf
1966,Julie Christie,Doctor Zhivago
1966,Lynn Redgrave,Georgy Girl
1966,Vanessa Redgrave,Morgan: A Suitable Case for Treatment
1967,Edith Evans,The Whisperers
1967,Barbara Jefford,Ulysses
1967,Elizabeth Taylor,The Taming of the Shrew
1960,Shirley MacLaine,The Apartment
1960,Pier Angeli,The Angry Silence
1960,Melina Mercouri,Never on Sunday
1960,Emmanuelle Riva,Hiroshima mon amour
1960,Jean Simmons,Elmer Gantry
1960,Monica Vitti,The Adventure
1961,Sophia Loren,Two Women
1961,Annie Girardot,Rocco and His Brothers
1961,Piper Laurie,The Hustler
1961,Claudia McNeil,A Raisin in the Sun
1961,Jean Seberg,Breathless
1962,Anne Bancroft,The Miracle Worker
1962,Harriet Andersson,Through a Glass Darkly
1962,Anouk Aime,Lola
1962,Melina Mercouri,Phaedra
1962,Jeanne Moreau,Jules and Jim
1962,Geraldine Page,Sweet Bird of Yout
1962,Natalie Wood,Splendor in the Grass
1963,Patricia Neal,Hud
1963,Lee Remick,Days of Wine and Roses
1963,Daniela Rocca,Divorce Italian Style
1964,Anne Bancroft,The Pumpkin Eater
1964,Kim Stanley,Sance on a Wet Afternoon
1964,Ava Gardner,The Night of the Iguana
1964,Shirley MacLaine,Irma la Douce
1965,Patricia Neal,In Harm's Way
1965,Jane Fonda,Cat Ballou
1965,Lila Kedrova,Zorba the Greek
1965,Simone Signoret,Ship of Fools
1966,Jeanne Moreau,Viva Maria!
1966,Brigitte Bardot,Viva Maria!
1966,Joan Hackett,The Group
1966,Simone Signoret,The Sleeping Car Murders
1967,Anouk Aime,A Man and a Woman
1967,Bibi Andersson,Persona
1967,Jane Fonda,Barefoot in the Park
1967,Simone Signoret,The Deadly Affair
1968,Katharine Hepburn,The Lion in Winter
1968,Anne Bancroft,The Graduate
1968,Catherine Deneuve,Beauty of the Day
1968,Joanne Woodward,"Rachel, Rachel"
1969,Maggie Smith,The Prime of Miss Jean Brodie
1969,Mia Farrow,Secret Ceremony
1969,Glenda Jackson,Women in Love
1969,Barbra Streisand,Funny Girl
1970,Katharine Ross,Butch Cassidy and the Sundance Kid
1970,Jane Fonda,"They Shoot Horses, Don't They?"
1970,Goldie Hawn,Cactus Flower
1970,Sarah Miles,Ryan's Daughter
1971,Glenda Jackson,Sunday Bloody Sunday
1971,Lynn Carlin,Taking Off
1971,Julie Christie,The Go-Between
1971,Jane Fonda,Klute
1971,Nanette Newman,The Raging Moon
1972,Liza Minnelli,Cabaret
1972,Stphane Audran,The Butcher
1972,Anne Bancroft,Young Winston
1972,Dorothy Tutin,Savage Messiah
1973,Stphane Audran,Just Before Nightfall
1973,Julie Christie,Don't Look Now
1973,Glenda Jackson,A Touch of Class
1973,Diana Ross,Lady Sings the Blues
1974,Joanne Woodward,"Summer Wishes, Winter Dreams"
1974,Faye Dunaway,Chinatown
1974,Barbra Streisand,The Way We Were
1974,Cicely Tyson,The Autobiography of Miss Jane Pittman
1975,Ellen Burstyn,Alice Doesn't Live Here Anymore
1975,Anne Bancroft,The Prisoner of Second Avenue
