Year,Actress,Film,Character
2000 (7th),Julia Roberts ,Erin Brockovich,Erin Brockovich
2000 (7th),Joan Allen ,The Contender,Laine Hanson
2000 (7th),Juliette Binoche ,Chocolat,Vianne Liberato
2000 (7th),Ellen Burstyn ,Requiem for a Dream,Sara Goldfarb
2000 (7th),Laura Linney ,You Can Count on Me,Sammy Taylor
2001 (8th),Halle Berry ,Monster's Ball,Leticia Musgrove
2001 (8th),Jennifer Connelly ,A Beautiful Mind,Alicia Nash
2001 (8th),Judi Dench ,Iris,Iris Murdoch
2001 (8th),Sissy Spacek ,In the Bedroom,Ruth Fowler
2001 (8th),Renée Zellweger ,Bridget Jones's Diary,Bridget Jones
2002 (9th),Renée Zellweger ,Chicago,Roxie Hart
2002 (9th),Salma Hayek ,Frida,Frida Kahlo
2002 (9th),Nicole Kidman ,The Hours,Virginia Woolf
2002 (9th),Diane Lane ,Unfaithful,Connie Sumner
2002 (9th),Julianne Moore ,Far from Heaven,Cathy Whitaker
2003 (10th),Charlize Theron ,Monster,Aileen Wuornos
2003 (10th),Patricia Clarkson,The Station Agent,Olivia Harris
2003 (10th),Diane Keaton ,Something's Gotta Give,Erica Barry
2003 (10th),Naomi Watts ,21 Grams,Cristina Gallagher
2003 (10th),Evan Rachel Wood,Thirteen,Tracy Freeland
2004 (11th),Hilary Swank ,Million Dollar Baby,Maggie Fitzgerald
2004 (11th),Annette Bening ,Being Julia,Julia Lambert
2004 (11th),Catalina Sandino Moreno ,Maria Full of Grace,Maria Álvarez
2004 (11th),Imelda Staunton ,Vera Drake,Vera Drake
2004 (11th),Kate Winslet ,Eternal Sunshine of the Spotless Mind,Clemetine Kruczynski
2005 (12th),Reese Witherspoon ,Walk the Line,June Carter
2005 (12th),Judi Dench ,Mrs Henderson Presents,Mrs. Laura Henderson
2005 (12th),Felicity Huffman ,Transamerica,Bree Hoffman
2005 (12th),Charlize Theron ,North Country,Josey Aimes
2005 (12th),Ziyi Zhang,Memoirs of a Geisha,Sayuri Takanasja
2006 (13th),Helen Mirren ,The Queen,Queen Elizabeth II
2006 (13th),Penélope Cruz ,Volver,Raimunda Nedine
2006 (13th),Judi Dench ,Notes on a Scandal,Barbara Covett
2006 (13th),Meryl Streep ,The Devil Wears Prada,Miranda Priestly
2006 (13th),Kate Winslet ,Little Children,Sarah Pierce
2007 (14th),Julie Christie ,Away from Her,Fiona Anderson
2007 (14th),Cate Blanchett ,Elizabeth: The Golden Age,Queen Elizabeth I
2007 (14th),Marion Cotillard ,La Vie en Rose (La môme),Edith Piaf
2007 (14th),Angelina Jolie,A Mighty Heart,Mariane Pearl
2007 (14th),Ellen Page ,Juno,Juno MacGuff
2008 (15th),Meryl Streep ,Doubt,Sister Aloysius Beauvier
2008 (15th),Anne Hathaway ,Rachel Getting Married,Kym Ryder
2008 (15th),Angelina Jolie ,Changeling,Christine Collins
2008 (15th),Melissa Leo ,Frozen River,Ray Eddy
2008 (15th),Kate Winslet,Revolutionary Road,April Wheeler
2009 (16th),Sandra Bullock ,The Blind Side,Leigh Anne Tuohy
2009 (16th),Helen Mirren ,The Last Station,Sophia Tolstaya
2009 (16th),Carey Mulligan ,An Education,Jenny Mellor
2009 (16th),Gabourey Sidibe ,Precious,Precious Jones
2009 (16th),Meryl Streep ,Julie & Julia,Julia Child
2010 (17th),Natalie Portman ,Black Swan,Nina Sayers
2010 (17th),Annette Bening ,The Kids Are All Right,Nicole Allgood
2010 (17th),Nicole Kidman ,Rabbit Hole,Becca Corbett
2010 (17th),Jennifer Lawrence ,Winter's Bone,Ree Dolly
2010 (17th),Hilary Swank,Conviction,Betty Anne Waters
2011 (18th),Viola Davis ,The Help,Aibileen Clark
2011 (18th),Glenn Close ,Albert Nobbs,Albert Nobbs
2011 (18th),Meryl Streep ,The Iron Lady,Margaret Thatcher
2011 (18th),Tilda Swinton,We Need to Talk About Kevin,Eva Khatchadourian
2011 (18th),Michelle Williams ,My Week with Marilyn,Marilyn Monroe
2012 (19th),Jennifer Lawrence ,Silver Linings Playbook,Tiffany Maxwell
2012 (19th),Jessica Chastain ,Zero Dark Thirty,Maya
2012 (19th),Marion Cotillard,Rust and Bone (De rouille et d'os),Stéphanie
2012 (19th),Helen Mirren,Hitchcock,Alma Reville
2012 (19th),Naomi Watts ,The Impossible,Maria Bennett
2013 (20th),Cate Blanchett ,Blue Jasmine,"Jeanette ""Jasmine"" Francis"
2013 (20th),Sandra Bullock ,Gravity,Ryan Stone
2013 (20th),Judi Dench ,Philomena,Philomena Lee
2013 (20th),Meryl Streep ,August: Osage County,Violet Weston
2013 (20th),Emma Thompson,Saving Mr. Banks,P. L. Travers
2014 (21st),Julianne Moore ,Still Alice,Alice Daly-Howland
2014 (21st),Jennifer Aniston,Cake,Claire Bennett
2014 (21st),Felicity Jones ,The Theory of Everything,Jane Wilde Hawking
2014 (21st),Rosamund Pike ,Gone Girl,Amy Elliott-Dunne
2014 (21st),Reese Witherspoon ,Wild,Cheryl Strayed
2015 (22nd),Brie Larson ,Room,Joy Newsome
2015 (22nd),Cate Blanchett ,Carol,Carol Aird
2015 (22nd),Helen Mirren,Woman in Gold,Maria Altmann
2015 (22nd),Saoirse Ronan ,Brooklyn,Eilis Lacey
2015 (22nd),Sarah Silverman,I Smile Back,"Elaine ""Laney"" Brooks"
2016 (23rd),Emma Stone ,La La Land,Mia Dolan
2016 (23rd),Amy Adams,Arrival,Dr. Louise Banks
2016 (23rd),Emily Blunt,The Girl on the Train,Rachel Watson
2016 (23rd),Natalie Portman ,Jackie,Jackie Kennedy
2016 (23rd),Meryl Streep ,Florence Foster Jenkins,Florence Foster Jenkins
1994 (1st),Jodie Foster ,Nell,Nell
1994 (1st),Jessica Lange ,Blue Sky,Carly Marshall
1994 (1st),Meg Ryan,When a Man Loves a Woman,Alice Green
1994 (1st),Susan Sarandon ,The Client,Reggie Love
1994 (1st),Meryl Streep,The River Wild,Gail Hartman
1995 (2nd),Susan Sarandon ,Dead Man Walking,Helen Prejean
1995 (2nd),Joan Allen ,Nixon,Pat Nixon
1995 (2nd),Elisabeth Shue ,Leaving Las Vegas,Sera
1995 (2nd),Meryl Streep ,The Bridges of Madison County,Francesca Johnson
1995 (2nd),Emma Thompson ,Sense and Sensibility,Elinor Dashwood
1996 (3rd),Frances McDormand ,Fargo,Marge Gunderson
1996 (3rd),Brenda Blethyn ,Secrets & Lies,Cynthia Rose Purley
1996 (3rd),Diane Keaton ,Marvin's Room,Bessie
1996 (3rd),Gena Rowlands,Unhook the Stars,Mildred Hawks
1996 (3rd),Kristin Scott Thomas ,The English Patient,Katharine Clifton
1997 (4th),Helen Hunt ,As Good as It Gets,Carol Connelly
1997 (4th),Helena Bonham Carter ,The Wings of the Dove,Kate Croy
1997 (4th),Judi Dench ,Mrs Brown,Queen Victoria
1997 (4th),Pam Grier,Jackie Brown,Jackie Brown
1997 (4th),Kate Winslet ,Titanic,Rose DeWitt Bukater
1997 (4th),Robin Wright Penn,She's So Lovely,Maureen Murphy Quinn
1998 (5th),Gwyneth Paltrow ,Shakespeare in Love,Viola De Lesseps
1998 (5th),Cate Blanchett ,Elizabeth,Queen Elizabeth I
1998 (5th),Jane Horrocks,Little Voice,LV
1998 (5th),Meryl Streep ,One True Thing,Kate Gulden
1998 (5th),Emily Watson ,Hilary and Jackie,Jacqueline du Pré
1999 (6th),Annette Bening ,American Beauty,Carolyn Burnham
1999 (6th),Janet McTeer ,Tumbleweeds,Mary Jo Walker
1999 (6th),Julianne Moore ,The End of the Affair,Sarah Miles
1999 (6th),Meryl Streep ,Music of the Heart,Roberta Guaspari
1999 (6th),Hilary Swank ,Boys Don't Cry,Brandon Teena
