Year,Film,Nominees
1950,Sunset Boulevard,Billy Wilder 
1950,All About Eve,Joseph L. Mankiewicz 
1950,The Asphalt Jungle,John Huston 
1950,Born Yesterday,George Cukor 
1951,Death of a Salesman,László Benedek §
1951,An American in Paris,Vincente Minnelli 
1951,A Place in the Sun,George Stevens 
1952,The Greatest Show on Earth,Cecil B. DeMille 
1952,The Narrow Margin,Richard Fleischer
1952,The Quiet Man,John Ford 
1953,From Here to Eternity,Fred Zinnemann 
1954,On the Waterfront,Elia Kazan 
1955,Picnic,Joshua Logan 
1956,Baby Doll,Elia Kazan §
1956,Around the World in 80 Days,Michael Anderson 
1956,Giant,George Stevens 
1956,Lust for Life,Vincente Minnelli
1956,War and Peace,King Vidor 
1957,The Bridge on the River Kwai,David Lean 
1957,12 Angry Men,Sidney Lumet 
1957,A Hatful of Rain,Fred Zinnemann
1957,Sayonara,Joshua Logan 
1957,Witness for the Prosecution,Billy Wilder 
1958,Gigi,Vincente Minnelli 
1958,Cat on a Hot Tin Roof,Richard Brooks 
1958,The Defiant Ones,Stanley Kramer 
1958,I Want to Live!,Robert Wise 
1958,Separate Tables,Delbert Mann
1959,Ben-Hur,William Wyler 
1959,Anatomy of a Murder,Otto Preminger
1959,The Diary of Anne Frank,George Stevens 
1959,The Nun's Story,Fred Zinnemann 
1959,On the Beach,Stanley Kramer
1960,Sons and Lovers,Jack Cardiff 
1960,The Apartment,Billy Wilder 
1960,Elmer Gantry,Richard Brooks
1960,Spartacus,Stanley Kubrick
1960,The Sundowners,Fred Zinnemann 
1961,Judgment at Nuremberg,Stanley Kramer
1961,The Children's Hour,William Wyler
1961,El Cid,Anthony Mann
1961,The Guns of Navarone,J. Lee Thompson 
1961,West Side Story,Jerome Robbins  and Robert Wise 
1962,Lawrence of Arabia,David Lean 
1962,The Chapman Report,George Cukor
1962,Days of Wine and Roses,Blake Edwards
1962,Freud,John Huston
1962,Gypsy,Mervyn LeRoy
1962,Hemingway's Adventures of a Young Man,Martin Ritt
1962,Lolita,Stanley Kubrick
1962,The Manchurian Candidate,John Frankenheimer
1962,The Music Man,Morton DaCosta
1962,"My Son, the Hero (Los Hermanos Del Hierro)",Ismael Rodríguez
1962,To Kill a Mockingbird,Robert Mulligan 
1963,America America,Elia Kazan 
1963,The Cardinal,Otto Preminger 
1963,The Caretakers,Hall Bartlett
1963,Cleopatra,Joseph L. Mankiewicz
1963,The Haunting,Robert Wise
1963,Hud,Martin Ritt 
1963,Tom Jones,Tony Richardson 
1963,The Ugly American,George Englund
1964,My Fair Lady,George Cukor 
1964,Becket,Peter Glenville 
1964,The Night of the Iguana,John Huston
1964,Seven Days in May,John Frankenheimer
1964,Zorba the Greek (Alexis Zorbas),Michael Cacoyannis 
1965,Doctor Zhivago,David Lean 
1965,The Collector,William Wyler 
1965,Darling,John Schlesinger 
1965,A Patch of Blue,Guy Green
1965,The Sound of Music,Robert Wise 
1966,A Man for All Seasons,Fred Zinnemann 
1966,Alfie,Lewis Gilbert
1966,A Man and a Woman,Claude Lelouch 
1966,The Sand Pebbles,Robert Wise
1966,Who's Afraid of Virginia Woolf?,Mike Nichols 
1967,The Graduate,Mike Nichols 
1967,Bonnie and Clyde,Arthur Penn 
1967,The Fox,Mark Rydell
1967,Guess Who's Coming to Dinner,Stanley Kramer 
1967,In the Heat of the Night,Norman Jewison 
1968,"Rachel, Rachel",Paul Newman §
1968,Funny Girl,William Wyler
1968,The Lion in Winter,Anthony Harvey 
1968,Oliver!,Carol Reed 
1968,Romeo and Juliet,Franco Zeffirelli 
1969,Anne of the Thousand Days,Charles Jarrott §
1969,"Hello, Dolly!",Gene Kelly
1969,Midnight Cowboy,John Schlesinger 
1969,The Secret of Santa Vittoria,Stanley Kramer
1969,"They Shoot Horses, Don't They?",Sydney Pollack 
1970,Love Story,Arthur Hiller 
1970,Five Easy Pieces,Bob Rafelson
1970,M*A*S*H,Robert Altman 
1970,Patton,Franklin J. Schaffner 
1970,Women in Love,Ken Russell 
1971,The French Connection,William Friedkin 
1971,A Clockwork Orange,Stanley Kubrick 
1971,Fiddler on the Roof,Norman Jewison 
1971,The Last Picture Show,Peter Bogdanovich 
