Name,Year,Oscar best film winner,Oscar best film nominee
Wings,1927,1,1
The Racket,1927,0,1
7th Heaven,1927,0,1
The Broadway Melody,1928,1,1
Alibi,1928,0,1
Hollywood Revue,1928,0,1
In Old Arizona,1928,0,1
The Patriot,1928,0,1
All Quiet on the Western Front,1929,1,1
The Big House,1929,0,1
Disraeli,1929,0,1
The Divorcee,1929,0,1
The Love Parade,1929,0,1
Cimarron,1930,1,1
East Lynne,1930,0,1
The Front Page,1930,0,1
Skippy,1930,0,1
Trader Horn,1930,0,1
Grand Hotel,1931,1,1
Arrowsmith,1931,0,1
Bad Girl,1931,0,1
The Champ,1931,0,1
Five Star Final,1931,0,1
One Hour with You,1931,0,1
Shanghai Express,1931,0,1
The Smiling Lieutenant,1931,0,1
Cavalcade,1932,1,1
42nd Street,1932,0,1
A Farewell to Arms,1932,0,1
I Am a Fugitive from a Chain Gang,1932,0,1
Lady for a Day,1932,0,1
Little Women,1932,0,1
The Private Life of Henry VIII,1932,0,1
She Done Him Wrong,1932,0,1
Smilin' Through,1932,0,1
State Fair,1932,0,1
It Happened One Night,1934,1,1
The Barretts of Wimpole Street,1934,0,1
Cleopatra,1934,0,1
Flirtation Walk,1934,0,1
The Gay Divorcee,1934,0,1
Here Comes the Navy,1934,0,1
The House of Rothschild,1934,0,1
Imitation of Life,1934,0,1
One Night of Love,1934,0,1
The Thin Man,1934,0,1
Viva Villa!,1934,0,1
The White Parade,1934,0,1
Mutiny on the Bounty,1935,1,1
Alice Adams,1935,0,1
Broadway Melody of 1936,1935,0,1
Captain Blood,1935,0,1
David Copperfield,1935,0,1
The Informer,1935,0,1
The Lives of a Bengal Lancer,1935,0,1
A Midsummer Night's Dream,1935,0,1
Les Misérables,1935,0,1
Naughty Marietta,1935,0,1
Ruggles of Red Gap,1935,0,1
Top Hat,1935,0,1
The Great Ziegfeld,1936,1,1
Anthony Adverse,1936,0,1
Dodsworth,1936,0,1
Libeled Lady,1936,0,1
Mr. Deeds Goes to Town,1936,0,1
Romeo and Juliet,1936,0,1
San Francisco,1936,0,1
The Story of Louis Pasteur,1936,0,1
A Tale of Two Cities,1936,0,1
Three Smart Girls,1936,0,1
The Life of Emile Zola,1937,1,1
The Awful Truth,1937,0,1
Captains Courageous,1937,0,1
Dead End,1937,0,1
The Good Earth,1937,0,1
In Old Chicago,1937,0,1
Lost Horizon,1937,0,1
One Hundred Men and a Girl,1937,0,1
Stage Door,1937,0,1
A Star Is Born,1937,0,1
You Can't Take It With You,1938,1,1
The Adventures of Robin Hood,1938,0,1
Alexander's Ragtime Band,1938,0,1
Boys Town,1938,0,1
The Citadel,1938,0,1
Four Daughters,1938,0,1
Grand Illusion,1938,0,1
Jezebel,1938,0,1
Pygmalion,1938,0,1
Test Pilot,1938,0,1
Gone with the Wind,1939,1,1
Dark Victory,1939,0,1
Goodbye  Mr. Chips,1939,0,1
Love Affair,1939,0,1
Mr. Smith Goes to Washington,1939,0,1
Ninotchka,1939,0,1
Of Mice and Men,1939,0,1
Stagecoach,1939,0,1
The Wizard of Oz,1939,0,1
Wuthering Heights,1939,0,1
Rebecca,1940,1,1
All This and Heaven Too,1940,0,1
Foreign Correspondent,1940,0,1
The Grapes of Wrath,1940,0,1
The Great Dictator,1940,0,1
Kitty Foyle,1940,0,1
The Letter,1940,0,1
The Long Voyage Home,1940,0,1
Our Town,1940,0,1
The Philadelphia Story,1940,0,1
How Green Was My Valley,1941,1,1
Blossoms in the Dust,1941,0,1
Citizen Kane,1941,0,1
Here Comes Mr. Jordan,1941,0,1
Hold Back the Dawn,1941,0,1
The Little Foxes,1941,0,1
The Maltese Falcon,1941,0,1
One Foot in Heaven,1941,0,1
Sergeant York,1941,0,1
Suspicion,1941,0,1
Mrs. Miniver,1942,1,1
The Invaders,1942,0,1
Kings Row,1942,0,1
The Magnificent Ambersons,1942,0,1
The Pied Piper,1942,0,1
The Pride of the Yankees,1942,0,1
Random Harvest,1942,0,1
The Talk of the Town,1942,0,1
Wake Island,1942,0,1
Yankee Doodle Dandy,1942,0,1
Casablanca,1943,1,1
For Whom the Bell Tolls,1943,0,1
Heaven Can Wait,1943,0,1
The Human Comedy,1943,0,1
In Which We Serve,1943,0,1
Madame Curie,1943,0,1
The More the Merrier,1943,0,1
The Ox-Bow Incident,1943,0,1
The Song of Bernadette,1943,0,1
Watch on the Rhine,1943,0,1
Going My Way,1944,1,1
Double Indemnity,1944,0,1
Gaslight,1944,0,1
Since You Went Away,1944,0,1
Wilson,1944,0,1
The Lost Weekend,1945,1,1
Anchors Aweigh,1945,0,1
The Bells of St. Mary's,1945,0,1
Mildred Pierce,1945,0,1
Spellbound,1945,0,1
The Best Years of Our Lives,1946,1,1
Henry V,1946,0,1
It's a Wonderful Life,1946,0,1
The Razor's Edge,1946,0,1
The Yearling,1946,0,1
Gentleman's Agreement,1947,1,1
The Bishop's Wife,1947,0,1
Crossfire,1947,0,1
Great Expectations,1947,0,1
Miracle on 34th Street,1947,0,1
Hamlet,1948,1,1
Johnny Belinda,1948,0,1
The Red Shoes,1948,0,1
The Snake Pit,1948,0,1
The Treasure of the Sierra Madre,1948,0,1
All the King's Men,1949,1,1
Battleground,1949,0,1
The Heiress,1949,0,1
A Letter to Three Wives,1949,0,1
Twelve O'Clock High,1949,0,1
All About Eve,1950,1,1
Born Yesterday,1950,0,1
Father of the Bride,1950,0,1
King Solomon's Mines,1950,0,1
Sunset Boulevard,1950,0,1
An American in Paris,1951,1,1
Decision Before Dawn,1951,0,1
A Place in the Sun,1951,0,1
Quo Vadis,1951,0,1
A Streetcar Named Desire,1951,0,1
The Greatest Show on Earth,1952,1,1
High Noon,1952,0,1
Ivanhoe,1952,0,1
Moulin Rouge,1952,0,1
