Year,Actor,Name,Globe best actor winner,Globe best actor nominee,BAFTA best actor winner,BAFTA best actor nominee,Spirit best actor winner,Spirit best actor nominee,Guild best actor winner,Guild best actor nominee
1950,José Ferrer ,Cyrano de Bergerac,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Louis Calhern ,The Magnificent Yankee,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,James Stewart ,Harvey,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,Fredric March ,Death of a Salesman,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,Kirk Douglas,Detective Story,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,Arthur Kennedy ,Bright Victory,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,Gary Cooper ,High Noon,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,Ray Milland,The Thief,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,Charles Boyer,The Happy Time,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1953,Spencer Tracy ,The Actress,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1954,Marlon Brando ,On the Waterfront,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1955,Ernest Borgnine ,Marty,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,Kirk Douglas ,Lust for Life,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,Karl Malden,Baby Doll,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,Gary Cooper,Friendly Persuasion,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,Burt Lancaster,The Rainmaker,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,Charlton Heston,The Ten Commandments,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1957,Alec Guinness ,The Bridge on the River Kwai,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1957,Marlon Brando ,Sayonara,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1958,David Niven ,Separate Tables,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1958,Tony Curtis ,The Defiant Ones,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1958,Robert Donat,The Inn of the Sixth Happiness,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1958,Sidney Poitier ,The Defiant Ones,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1958,Spencer Tracy ,The Old Man and the Sea,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,Anthony Franciosa ,Career,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,Richard Burton,Look Back in Anger,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,Charlton Heston ,Ben-Hur,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,Fredric March,Middle of the Night,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,Joseph Schildkraut,The Diary of Anne Frank,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,Burt Lancaster ,Elmer Gantry,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,Trevor Howard ,Sons and Lovers,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,Laurence Olivier,Spartacus,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
