Year,Name,Director,Globe best director winner,Globe best director nominee,BAFTA best director winner,BAFTA best director nominee,Spirit best director winner,Spirit best director nominee
1950,Sunset Boulevard,Billy Wilder ,1.0,1.0,0.0,0.0,0.0,0.0
1950,All About Eve,Joseph L. Mankiewicz ,0.0,1.0,0.0,0.0,0.0,0.0
1950,The Asphalt Jungle,John Huston ,0.0,1.0,0.0,0.0,0.0,0.0
1950,Born Yesterday,George Cukor ,0.0,1.0,0.0,0.0,0.0,0.0
1951,Death of a Salesman,László Benedek §,1.0,1.0,0.0,0.0,0.0,0.0
1951,An American in Paris,Vincente Minnelli ,0.0,1.0,0.0,0.0,0.0,0.0
1951,A Place in the Sun,George Stevens ,0.0,1.0,0.0,0.0,0.0,0.0
1952,The Greatest Show on Earth,Cecil B. DeMille ,1.0,1.0,0.0,0.0,0.0,0.0
1952,The Narrow Margin,Richard Fleischer,0.0,1.0,0.0,0.0,0.0,0.0
1952,The Quiet Man,John Ford ,0.0,1.0,0.0,0.0,0.0,0.0
1953,From Here to Eternity,Fred Zinnemann ,1.0,1.0,0.0,0.0,0.0,0.0
1954,On the Waterfront,Elia Kazan ,1.0,1.0,0.0,0.0,0.0,0.0
1955,Picnic,Joshua Logan ,1.0,1.0,0.0,0.0,0.0,0.0
1956,Baby Doll,Elia Kazan §,1.0,1.0,0.0,0.0,0.0,0.0
1956,Around the World in 80 Days,Michael Anderson ,0.0,1.0,0.0,0.0,0.0,0.0
1956,Giant,George Stevens ,0.0,1.0,0.0,0.0,0.0,0.0
1956,Lust for Life,Vincente Minnelli,0.0,1.0,0.0,0.0,0.0,0.0
1956,War and Peace,King Vidor ,0.0,1.0,0.0,0.0,0.0,0.0
1957,The Bridge on the River Kwai,David Lean ,1.0,1.0,0.0,0.0,0.0,0.0
1957,12 Angry Men,Sidney Lumet ,0.0,1.0,0.0,0.0,0.0,0.0
1957,A Hatful of Rain,Fred Zinnemann,0.0,1.0,0.0,0.0,0.0,0.0
1957,Sayonara,Joshua Logan ,0.0,1.0,0.0,0.0,0.0,0.0
1957,Witness for the Prosecution,Billy Wilder ,0.0,1.0,0.0,0.0,0.0,0.0
1958,Gigi,Vincente Minnelli ,1.0,1.0,0.0,0.0,0.0,0.0
1958,Cat on a Hot Tin Roof,Richard Brooks ,0.0,1.0,0.0,0.0,0.0,0.0
1958,The Defiant Ones,Stanley Kramer ,0.0,1.0,0.0,0.0,0.0,0.0
1958,I Want to Live!,Robert Wise ,0.0,1.0,0.0,0.0,0.0,0.0
1958,Separate Tables,Delbert Mann,0.0,1.0,0.0,0.0,0.0,0.0
1959,Ben-Hur,William Wyler ,1.0,1.0,0.0,0.0,0.0,0.0
1959,Anatomy of a Murder,Otto Preminger,0.0,1.0,0.0,0.0,0.0,0.0
1959,The Diary of Anne Frank,George Stevens ,0.0,1.0,0.0,0.0,0.0,0.0
1959,The Nun's Story,Fred Zinnemann ,0.0,1.0,0.0,0.0,0.0,0.0
1959,On the Beach,Stanley Kramer,0.0,1.0,0.0,0.0,0.0,0.0
1960,Sons and Lovers,Jack Cardiff ,1.0,1.0,0.0,0.0,0.0,0.0
1960,The Apartment,Billy Wilder ,0.0,1.0,0.0,0.0,0.0,0.0
