Name,Year,Globe best film winner,Globe best film nominee,BAFTA best film winner,BAFTA best film nominee,Spirit best film nominee,Spirit best film winner,Critic best film winner,Critic best film nominee,Oscar best film winner,Oscar best film nominee
A Place in the Sun ,1951,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bright Victory,1951,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Detective Story,1951,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quo Vadis ,1951,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Streetcar Named Desire ,1951,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Greatest Show on Earth ,1952,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Come Back, Little Sheba",1952,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Happy Time,1952,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
High Noon ,1952,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Thief,1952,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Robe ,1953,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
On the Waterfront ,1954,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East of Eden,1955,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Around the World in 80 Days ,1956,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giant ,1956,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lust for Life,1956,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Rainmaker,1956,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
War and Peace,1956,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Bridge on the River Kwai ,1957,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12 Angry Men ,1957,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sayonara ,1957,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wild Is the Wind,1957,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Witness for the Prosecution ,1957,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Defiant Ones ,1958,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat on a Hot Tin Roof ,1958,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Home Before Dark,1958,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
