"Year","Actress","Character","Film"
"2000","Julia Roberts","Erin Brockovich","Erin Brockovich"
"2001","Sissy Spacek","Ruth Fowler","In the Bedroom"
"2001","Nicole Kidman","Satine","Moulin Rouge!"
"2001","Renee Zellweger","Bridget Jones","Bridget Jones's Diary"
"2002","Julianne Moore","Cathy Whitaker","Far from Heaven"
"2002","Salma Hayek","Frida Kahlo","Frida"
"2002","Nicole Kidman","Virginia Woolf","The Hours"
"2002","Diane Lane","Constance ""Connie"" Sumner","Unfaithful"
"2003","Charlize Theron","Aileen Wuornos","Monster"
"2003","Jennifer Connelly","Kathy Nicolo","House of Sand and Fog §"
"2003","Diane Keaton","Erica Barry","Something's Gotta Give"
"2003","Nicole Kidman","Ada Monroe","Cold Mountain §"
"2003","Samantha Morton","Sarah Sullivan","In America"
"2003","Naomi Watts","Cristina ""Cris"" Williams-Peck","21 Grams"
"2004","Hilary Swank","Maggie Fitzgerald","Million Dollar Baby"
"2004","Annette Bening","Julia Lambert","Being Julia"
"2004","Catalina Sandino Moreno","María Álvarez","Maria Full of Grace"
"2004","Imelda Staunton","Vera Rose Drake","Vera Drake"
"2004","Kate Winslet","Clementine Kruczynski","Eternal Sunshine of the Spotless Mind"
"2004","Uma Thurman","Beatrix Kiddo","Kill Bill: Volume 2 §"
"2005","Reese Witherspoon","June Carter","Walk the Line"
"2005","Joan Allen","Terry Wolfmeyer","The Upside of Anger '§"
"2005","Judi Dench","Laura Henderson","Mrs Henderson Presents"
"2005","Felicity Huffman","Sabrina ""Bree"" Osbourne / Stanley Schupak","Transamerica"
"2005","Keira Knightley","Elizabeth Bennet","Pride and Prejudice"
"2005","Charlize Theron","Josey Aimes","North Country"
"2006","Helen Mirren","Elizabeth II","The Queen"
"2006","Penélope Cruz","Raimunda","Volver"
"2006","Judi Dench","Barbara Covett","Notes on a Scandal"
"2006","Meryl Streep","Miranda Priestly","The Devil Wears Prada"
"2006","Kate Winslet","Sarah Pierce","Little Children"
"2007","Julie Christie","Fiona Anderson","Away from Her"
"2007","Amy Adams","Princess Giselle","Enchanted §"
"2007","Cate Blanchett","Elizabeth I","Elizabeth: The Golden Age"
"2007","Marion Cotillard","Édith Piaf","La Vie en Rose"
"2007","Angelina Jolie","Marianne Pearl","A Mighty Heart §"
"2007","Ellen Page","Juno MacGuff","Juno"
"2008","Anne Hathaway (TIE)","Kym Buchman","Rachel Getting Married"
"2008","Meryl Streep (TIE)","Aloysius Bouvier","Doubt"
"2008","Kate Beckinsale","Rachel Armstrong","Nothing but the Truth §"
"2008","Cate Blanchett","Daisy Fuller (adult)","The Curious Case of Benjamin Button §"
"2008","Angelina Jolie","Christine Collins","Changeling"
"2008","Melissa Leo","Ray Eddy","Frozen River"
"2009","Sandra Bullock (TIE)","Leigh Anne Tuohy","The Blind Side"
"2009","Meryl Streep (TIE)","Julia Child","Julie & Julia"
"2009","Emily Blunt","Queen Victoria","The Young Victoria §"
"2009","Carey Mulligan","Jenny Miller","An Education"
"2009","Saoirse Ronan","Susie Salmon","The Lovely Bones §"
"2009","Gabourey Sidibe","Claireece ""Precious"" Jones","Precious"
