year,director,movie
1995, Mel Gibson , Braveheart
1996, Anthony Minghella , The English Patient
1997, James Cameron , Titanic
1998, Steven Spielberg , Saving Private Ryan
1999, Sam Mendes , American Beauty
2000, Steven Soderbergh , Erin Brockovich and Traffic
2001, Ron Howard , A Beautiful Mind
2001,Peter Jackson , The Lord of the Rings: The Fellowship of the Ring
2002, Steven Spielberg , Catch Me If You Can
2002,Roman Polanski , The Pianist
2002,Martin Scorsese , Gangs of New York
2003, Peter Jackson , The Lord of the Rings: The Return of the King
2003,Tim Burton , Big Fish
2003,Sofia Coppola , Lost in Translation
2003,Clint Eastwood , Mystic River
2003,Jim Sheridan , In America
2004, Martin Scorsese , The Aviator
2004,Clint Eastwood , Million Dollar Baby
2004,Marc Forster , Finding Neverland
2004,Taylor Hackford , Ray
2004,Alexander Payne , Sideways
2005, Ang Lee , Brokeback Mountain
2005,George Clooney,"Good Night, and Good Luck"
2005,Paul Haggis , Crash
2005,Ron Howard , Cinderella Man
2005,Steven Spielberg , Munich
2006, Martin Scorsese , The Departed
2006,Bill Condon , Dreamgirls
2006,Clint Eastwood , Letters from Iwo Jima
2006,Stephen Frears , The Queen
2006,Paul Greengrass , United 93
2007, Joel Coen and Ethan Coen , No Country for Old Men
2007,Tim Burton , Sweeney Todd: The Demon Barber of Fleet Street
2007,Sean Penn , Into the Wild
2007,Julian Schnabel , The Diving Bell and the Butterfly
2007,Joe Wright , Atonement
2008, Danny Boyle , Slumdog Millionaire
2008,David Fincher , The Curious Case of Benjamin Button
2008,Ron Howard , Frost/Nixon
2008,Christopher Nolan , The Dark Knight
2008,Gus Van Sant , Milk
2009, Kathryn Bigelow , The Hurt Locker
2009,James Cameron , Avatar
2009,Lee Daniels , Precious
2009,Clint Eastwood , Invictus
2009,Jason Reitman , Up in the Air
2009,Quentin Tarantino , Inglourious Basterds
2010, David Fincher , The Social Network
2010,Darren Aronofsky , Black Swan
2010,Danny Boyle , 127 Hours
2010,Joel Coen and Ethan Coen , True Grit
2010,Tom Hooper , The King's Speech
2010,Christopher Nolan , Inception
2011, Michel Hazanavicius , The Artist
2011,Stephen Daldry , Extremely Loud and Incredibly Close
2011,Alexander Payne , The Descendants
2011,Nicolas Winding Refn , Drive
2011,Martin Scorsese , Hugo
2011,Steven Spielberg , War Horse
2012, Ben Affleck , Argo
2012,Kathryn Bigelow , Zero Dark Thirty
2012,Tom Hooper , Les Miserables
2012,Ang Lee , Life of Pi
2012,David O. Russell , Silver Linings Playbook
2012,Steven Spielberg , Lincoln
2013, Alfonso Cuarón , Gravity
2013,Paul Greengrass , Captain Phillips
2013,Spike Jonze , Her
2013,Steve McQueen , 12 Years a Slave
2013,David O. Russell , American Hustle
2013,Martin Scorsese , The Wolf of Wall Street
2014, Richard Linklater , Boyhood
2014,Wes Anderson , The Grand Budapest Hotel
2014,Ava DuVernay , Selma
2014,David Fincher , Gone Girl
2014,Alejandro G. Iñárritu , Birdman
2014,Angelina Jolie , Unbroken
2015, George Miller , Mad Max:Fury Road
2015,Todd Haynes , Carol
2015,Alejandro G. Iñárritu , The Revenant
2015,Tom McCarthy , Spotlight
2015,Ridley Scott , The Martian
2015,Steven Spielberg , Bridge of Spies
2016, Damien Chazelle , La La Land
2016,Mel Gibson , Hacksaw Ridge
2016,Barry Jenkins , Moonlight
2016,Kenneth Lonergan , Manchester by the Sea
2016,David Mackenzie , Hell or High Water
2016,Denis Villeneuve , Arrival
2016,Denzel Washington , Fences
