"Year","Actor","Character","Film"
"2010","Colin Firth †","King George VI","The King's Speech"
"2010","Jesse Eisenberg ‡","Mark Zuckerberg","The Social Network"
"2010","James Franco ‡","Aron Ralston","127 Hours"
"2010","Ryan Gosling","Dean Pereira","Blue Valentine"
"2010","Mark Wahlberg","Micky Ward","The Fighter"
"2011","George Clooney ‡","Matt King","The Descendants"
"2011","Leonardo DiCaprio","J. Edgar Hoover","J. Edgar"
"2011","Michael Fassbender","Brandon Sullivan","Shame"
"2011","Ryan Gosling","Stephen Meyers","The Ides of March"
"2011","Brad Pitt ‡","Billy Beane","Moneyball"
"2012","Daniel Day-Lewis †","Abraham Lincoln","Lincoln"
"2012","Richard Gere","Robert Miller","Arbitrage"
"2012","John Hawkes","Mark O'Brien","The Sessions"
"2012","Joaquin Phoenix ‡","Freddie Quell","The Master"
"2012","Denzel Washington ‡","William ""Whip"" Whitaker, Sr.","Flight"
"2013","Matthew McConaughey †","Ron Woodroof","Dallas Buyers Club"
"2013","Chiwetel Ejiofor ‡","Solomon Northup","12 Years a Slave"
"2013","Idris Elba","Nelson Mandela","Mandela: Long Walk to Freedom"
"2013","Tom Hanks","Captain Richard Phillips","Captain Phillips"
"2013","Robert Redford","Our Man","All Is Lost"
"2014","Eddie Redmayne †","Stephen Hawking","The Theory of Everything"
"2014","Steve Carell ‡","John Eleuthère du Pont","Foxcatcher"
"2014","Benedict Cumberbatch ‡","Alan Turing","The Imitation Game"
"2014","Jake Gyllenhaal","Louis ""Lou"" Bloom","Nightcrawler"
"2014","David Oyelowo","Martin Luther King Jr.","Selma"
"2015","Leonardo DiCaprio †","Hugh Glass","The Revenant"
"2015","Bryan Cranston ‡","Dalton Trumbo","Trumbo"
"2015","Michael Fassbender ‡","Steve Jobs","Steve Jobs"
"2015","Eddie Redmayne ‡","Lili Elbe","The Danish Girl"
"2015","Will Smith","Dr. Bennet Omalu","Concussion"
"2016","Casey Affleck †","Lee Chandler","Manchester by the Sea"
"2016","Joel Edgerton","Richard Loving","Loving"
"2016","Andrew Garfield ‡","Desmond T. Doss","Hacksaw Ridge"
"2016","Viggo Mortensen ‡","Ben Cash","Captain Fantastic"
"2016","Denzel Washington ‡","Troy Maxson","Fences"
