"Year","Actress","Character","Film"
"2010","Natalie Portman †","Nina Sayers","Black Swan"
"2010","Halle Berry","Frankie / Genius / Alice","Frankie and Alice"
"2010","Nicole Kidman ‡","Becca Corbett","Rabbit Hole"
"2010","Jennifer Lawrence ‡","Ree Dolly","Winter's Bone"
"2010","Michelle Williams ‡","Cindy Hiller","Blue Valentine"
"2011","Meryl Streep †","Margaret Thatcher","The Iron Lady"
"2011","Glenn Close ‡","Albert Nobbs","Albert Nobbs"
"2011","Viola Davis ‡","Aibileen Clark","The Help"
"2011","Rooney Mara ‡","Lisbeth Salander","The Girl with the Dragon Tattoo"
"2011","Tilda Swinton","Eva Khatchadourian","We Need to Talk About Kevin"
"2012","Jessica Chastain ‡","Maya","Zero Dark Thirty"
"2012","Marion Cotillard","Stéphanie","Rust and Bone"
"2012","Helen Mirren","Alma Reville","Hitchcock"
"2012","Naomi Watts ‡","Maria Bennett","The Impossible"
"2012","Rachel Weisz","Hester Collyer","The Deep Blue Sea"
"2013","Cate Blanchett †","Jeanette ""Jasmine"" Francis","Blue Jasmine"
"2013","Sandra Bullock ‡","Ryan Stone","Gravity"
"2013","Judi Dench ‡","Philomena Lee","Philomena"
"2013","Emma Thompson","P. L. Travers","Saving Mr. Banks"
"2013","Kate Winslet","Adele Wheeler","Labor Day"
"2014","Julianne Moore †","Alice Daly-Howland","Still Alice"
"2014","Jennifer Aniston","Claire Bennett","Cake"
"2014","Felicity Jones ‡","Jane Hawking","The Theory of Everything"
"2014","Rosamund Pike ‡","Amy Elliott-Dunne","Gone Girl"
"2014","Reese Witherspoon ‡","Cheryl Strayed","Wild"
"2015","Brie Larson †","Joy Newsome","Room"
"2015","Cate Blanchett ‡","Carol Aird","Carol"
"2015","Rooney Mara ‡","Therese Belivet","Carol"
"2015","Saoirse Ronan ‡","Eilis Lacey","Brooklyn"
"2015","Alicia Vikander †","Gerda Wegener","The Danish Girl"
"2016","Isabelle Huppert ‡","Michèle Leblanc","Elle"
"2016","Amy Adams","Dr. Louise Banks","Arrival"
"2016","Jessica Chastain","Elizabeth Sloane","Miss Sloane"
"2016","Ruth Negga ‡","Mildred Loving","Loving"
"2016","Natalie Portman ‡","Jackie Kennedy","Jackie"
