"Year","Film","Nominees"
"1970","Love Story","Arthur Hiller ‡"
"1970","Five Easy Pieces","Bob Rafelson"
"1970","M*A*S*H","Robert Altman ‡"
"1970","Patton","Franklin J. Schaffner †"
"1970","Women in Love","Ken Russell ‡"
"1971","The French Connection","William Friedkin †"
"1971","A Clockwork Orange","Stanley Kubrick ‡"
"1971","Fiddler on the Roof","Norman Jewison ‡"
"1971","The Last Picture Show","Peter Bogdanovich ‡"
"1971","Summer of ‘42","Robert Mulligan"
"1972","The Godfather","Francis Ford Coppola ‡"
"1972","Avanti!","Billy Wilder"
"1972","Cabaret","Bob Fosse †"
"1972","Deliverance","John Boorman ‡"
"1972","Frenzy","Alfred Hitchcock"
"1973","The Exorcist","William Friedkin ‡"
"1973","American Graffiti","George Lucas ‡"
"1973","The Day of the Jackal","Fred Zinnemann"
"1973","Last Tango in Paris","Bernardo Bertolucci ‡"
"1973","Paper Moon","Peter Bogdanovich"
"1974","Chinatown","Roman Polanski ‡"
"1974","The Conversation","Francis Ford Coppola"
"1974","The Godfather Part II","Francis Ford Coppola †"
"1974","Lenny","Bob Fosse ‡"
"1974","A Woman Under the Influence","John Cassavetes ‡"
"1975","One Flew Over the Cuckoo's Nest","Miloš Forman †"
"1975","Barry Lyndon","Stanley Kubrick ‡"
"1975","Dog Day Afternoon","Sidney Lumet ‡"
"1975","Jaws","Steven Spielberg"
"1975","Nashville","Robert Altman ‡"
"1976","Network","Sidney Lumet ‡"
"1976","All the President's Men","Alan J. Pakula ‡"
"1976","Bound for Glory","Hal Ashby"
"1976","Marathon Man","John Schlesinger"
"1976","Rocky","John G. Avildsen †"
"1977","The Turning Point","Herbert Ross ‡"
"1977","Annie Hall","Woody Allen †"
"1977","Close Encounters of the Third Kind","Steven Spielberg ‡"
"1977","Julia","Fred Zinnemann ‡"
"1977","Star Wars","George Lucas ‡"
"1978","The Deer Hunter","Michael Cimino †"
"1978","Coming Home","Hal Ashby ‡"
"1978","Days of Heaven","Terrence Malick"
"1978","Interiors","Woody Allen ‡"
"1978","Midnight Express","Alan Parker ‡"
"1978","An Unmarried Woman","Paul Mazursky"
"1979","Apocalypse Now","Francis Ford Coppola ‡"
"1979","Being There","Hal Ashby"
"1979","Breaking Away","Peter Yates ‡"
"1979","The China Syndrome","James Bridges"
"1979","Kramer vs. Kramer","Robert Benton †"
