"Year","Film","Winners and nominees"
"2000","Crouching Tiger, Hidden Dragon","Ang Lee ‡"
"2000","Erin Brockovich","Steven Soderbergh ‡"
"2000","Gladiator","Ridley Scott ‡"
"2000","Sunshine","István Szabó"
"2000","Traffic","Steven Soderbergh †"
"2001","Gosford Park","Robert Altman ‡"
"2001","A.I. Artificial Intelligence","Steven Spielberg"
"2001","A Beautiful Mind","Ron Howard †"
"2001","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson ‡"
"2001","Moulin Rouge!","Baz Luhrmann"
"2001","Mulholland Drive","David Lynch ‡"
"2002","Gangs of New York","Martin Scorsese ‡"
"2002","About Schmidt","Alexander Payne"
"2002","Adaptation","Spike Jonze"
"2002","Chicago","Rob Marshall ‡"
"2002","The Hours","Stephen Daldry ‡"
"2002","The Lord of the Rings: The Two Towers","Peter Jackson"
"2003","The Lord of the Rings: The Return of the King","Peter Jackson †"
"2003","Cold Mountain","Anthony Minghella"
"2003","Lost in Translation","Sofia Coppola ‡"
"2003","Master and Commander: The Far Side of the World","Peter Weir ‡"
"2003","Mystic River","Clint Eastwood ‡"
"2004","Million Dollar Baby","Clint Eastwood †"
"2004","The Aviator","Martin Scorsese ‡"
"2004","Closer","Mike Nichols"
"2004","Finding Neverland","Marc Forster"
"2004","Sideways","Alexander Payne ‡"
"2005","Brokeback Mountain","Ang Lee †"
"2005","The Constant Gardener","Fernando Meirelles"
"2005","Good Night, and Good Luck","George Clooney ‡"
"2005","King Kong","Peter Jackson"
"2005","Match Point","Woody Allen"
"2005","Munich","Steven Spielberg ‡"
"2006","The Departed","Martin Scorsese †"
"2006","Babel","Alejandro González Iñárritu ‡"
"2006","Flags of Our Fathers","Clint Eastwood"
"2006","Letters from Iwo Jima","Clint Eastwood ‡"
"2006","The Queen","Stephen Frears ‡"
"2007","The Diving Bell and the Butterfly","Julian Schnabel ‡"
"2007","American Gangster","Ridley Scott"
"2007","Atonement","Joe Wright"
"2007","No Country for Old Men","Joel Coen and Ethan Coen †"
"2007","Sweeney Todd: The Demon Barber of Fleet Street","Tim Burton"
"2008","Slumdog Millionaire","Danny Boyle †"
"2008","The Curious Case of Benjamin Button","David Fincher ‡"
"2008","Frost/Nixon","Ron Howard ‡"
"2008","The Reader","Stephen Daldry ‡"
"2008","Revolutionary Road","Sam Mendes"
"2009","Avatar","James Cameron ‡"
"2009","The Hurt Locker","Kathryn Bigelow †"
"2009","Inglourious Basterds","Quentin Tarantino ‡"
"2009","Invictus","Clint Eastwood"
"2009","Up in the Air","Jason Reitman ‡"
