"Year","Film","Director","Producer/s"
"1970","Love Story *","Arthur Hiller","Howard G. Minsky"
"1970","Airport *","George Seaton","Ross Hunter"
"1970","Five Easy Pieces *","Bob Rafelson","Robert Daley"
"1970","I Never Sang for My Father","Gilbert Cates","Gilbert Cates"
"1970","Patton †","Franklin J. Schaffner","Frank Caffey"
"1971","The French Connection †","William Friedkin","Philip D'Antoni"
"1971","A Clockwork Orange *","Stanley Kubrick","Si Litvinoff"
"1971","The Last Picture Show *","Peter Bogdanovich","Stephen J. Friedman"
"1971","Mary, Queen of Scots","Charles Jarrott","Hal B. Wallis"
"1971","Summer of ‘42","Robert Mulligan","Richard A. Roth"
"1972","The Godfather †","Francis Ford Coppola","Albert S. Ruddy"
"1972","Deliverance *","John Boorman","John Boorman"
"1972","Frenzy","Alfred Hitchcock","William Hill"
"1972","The Poseidon Adventure","Ronald Neame","Irwin Allen"
"1972","Sleuth","Joseph L. Mankiewicz","Morton Gottlieb"
"1973","The Exorcist *","William Friedkin","William Peter Blatty"
"1973","Cinderella Liberty","Mark Rydell","Mark Rydell"
"1973","The Day of the Jackal","Fred Zinnemann","John Woolf"
"1973","Last Tango in Paris","Bernardo Bertolucci","Alberto Grimaldi"
"1973","Save the Tiger","John G. Avildsen","Edward S. Feldman"
"1973","Serpico","Sidney Lumet","Dino De Laurentiis"
"1974","Chinatown *","Roman Polanski","Robert Evans"
"1974","The Conversation *","Francis Ford Coppola","Francis Ford Coppola"
"1974","Earthquake","Mark Robson","Mark Robson"
"1974","The Godfather Part II †","Francis Ford Coppola","Francis Ford Coppola"
"1974","A Woman Under the Influence","John Cassavetes","Sam Shaw"
"1975","One Flew Over the Cuckoo's Nest †","Miloš Forman","Michael Douglas"
"1975","Barry Lyndon *","Stanley Kubrick","Stanley Kubrick"
"1975","Dog Day Afternoon *","Sidney Lumet","Martin Bregman"
"1975","Jaws *","Steven Spielberg","David Brown"
"1975","Nashville *","Robert Altman","Robert Altman"
"1976","Rocky †","John G. Avildsen","Robert Chartoff and Irwin Winkler"
"1976","All the President's Men *","Alan J. Pakula","Walter Coblenz"
"1976","Bound for Glory *","Hal Ashby","Robert Blumofe"
"1976","Network *","Sidney Lumet","Howard Gottfried"
"1976","Voyage of the Damned","Stuart Rosenberg","Robert Fryer"
"1977","The Turning Point *","Herbert Ross","Arthur Laurents"
"1977","Close Encounters of the Third Kind","Steven Spielberg","Julia Phillips"
"1977","I Never Promised You a Rose Garden","Anthony Page","Daniel H. Blatt"
"1977","Julia *","Fred Zinnemann","Richard A. Roth"
"1977","Star Wars *","George Lucas","Gary Kurtz"
"1978","Midnight Express *","Alan Parker","Alan Marshall"
"1978","Coming Home *","Hal Ashby","Robert C. Jones"
"1978","Days of Heaven","Terrence Malick","Bert Schneider"
"1978","The Deer Hunter †","Michael Cimino","Barry Spikings"
"1978","An Unmarried Woman *","Paul Mazursky","Paul Mazursky"
"1979","Kramer vs. Kramer †","Robert Benton","Stanley R. Jaffe"
"1979","Apocalypse Now *","Francis Ford Coppola","Francis Ford Coppola"
"1979","The China Syndrome","James Bridges","Michael Douglas"
"1979","Manhattan","Woody Allen","Charles H. Joffe"
"1979","Norma Rae *","Martin Ritt","Alexandra Rose"
