year,actor,film
1960,Burt Lancaster,Elmer Gantry
1960,Trevor Howard,Sons and Lovers
1960,Jack Lemmon,The Apartment
1960,Laurence Olivier,The Entertainer
1960,Spencer Tracy,Inherit the Wind
1961,Maximilian Schell,Judgment at Nuremberg
1961,Charles Boyer,Fanny
1961,Paul Newman,The Hustler
1961,Spencer Tracy,Judgment at Nuremberg
1961,Stuart Whitman,The Mark
1962,Gregory Peck,To Kill a Mockingbird
1962,Burt Lancaster,Birdman of Alcatraz
1962,Jack Lemmon,Days of Wine and Roses
1962,Marcello Mastroianni,Divorce Italian Style
1962,Peter O'Toole,Lawrence of Arabia
1963,Sidney Poitier,Lilies of the Field
1963,Albert Finney,Tom Jones
1963,Richard Harris,This Sporting Life
1963,Rex Harrison,Cleopatra
1963,Paul Newman,Hud
1964,Rex Harrison,My Fair Lady
1964,Richard Burton,Becket
1964,Peter O'Toole,Becket
1964,Anthony Quinn,Zorba the Greek
1964,Peter Sellers,Dr. Strangelove
1965,Lee Marvin,Cat Ballou
1965,Richard Burton,The Spy Who Came in from the Cold
1965,Laurence Olivier,Othello
1965,Rod Steiger,The Pawnbroker
1965,Oskar Werner,Ship of Fools
1966,Paul Scofield,A Man for All Seasons
1966,Alan Arkin,"The Russians Are Coming, the Russians Are Coming"
1966,Richard Burton,Who's Afraid of Virginia Woolf?
1966,Michael Caine,Alfie
1966,Steve McQueen,The Sand Pebbles
1967,Rod Steiger,In the Heat of the Night
1967,Warren Beatty,Bonnie and Clyde
1967,Dustin Hoffman,The Graduate
1967,Paul Newman,Cool Hand Luke
1967,Spencer Tracy,Guess Who's Coming to Dinner
1968,Cliff Robertson,Charly
1968,Alan Arkin,The Heart Is a Lonely Hunter
1968,Alan Bates,The Fixer
1968,Ron Moody,Oliver!
1968,Peter O'Toole,The Lion in Winter
1969,John Wayne,True Grit
1969,Richard Burton,Anne of the Thousand Days
1969,Dustin Hoffman,Midnight Cowboy
1969,Peter O'Toole,"Goodbye, Mr. Chips"
1969,Jon Voight,Midnight Cowboy
1970,George C. Scott,Patton
1970,Melvyn Douglas,I Never Sang for My Father
1970,James Earl Jones,The Great White Hope
1970,Jack Nicholson,Five Easy Pieces
1970,Ryan O'Neal,Love Story
1971,Gene Hackman,The French Connection
1971,Peter Finch,Sunday Bloody Sunday
1971,Walter Matthau,Kotch
1971,George C. Scott,The Hospital
1971,Topol,Fiddler on the Roof
1972,Marlon Brando,The Godfather
1972,Michael Caine,Sleuth
1972,Laurence Olivier,Sleuth
1972,Peter O'Toole,The Ruling Class
1972,Paul Winfield,Sounder
1973,Jack Lemmon,Save the Tiger
1973,Marlon Brando,Last Tango in Paris
1973,Jack Nicholson,The Last Detail
1973,Al Pacino,Serpico
1973,Robert Redford,The Sting
1974,Art Carney,Harry and Tonto
1974,Albert Finney,Murder on the Orient Express
1974,Dustin Hoffman,Lenny
1974,Jack Nicholson,Chinatown
1974,Al Pacino,The Godfather Part II
1975,Jack Nicholson,One Flew Over the Cuckoo's Nest
1975,Walter Matthau,The Sunshine Boys
1975,Al Pacino,Dog Day Afternoon
1975,Maximilian Schell,The Man in the Glass Booth
1975,James Whitmore,"Give 'em Hell, Harry!"
1976,Peter Finch,Network
1976,Robert De Niro,Taxi Driver
1976,Giancarlo Giannini,Seven Beauties
1976,William Holden,Network
1976,Sylvester Stallone,Rocky
1977,Richard Dreyfuss,The Goodbye Girl
1977,Woody Allen,Annie Hall
1977,Richard Burton,Equus
1977,Marcello Mastroianni,A Special Day
1977,John Travolta,Saturday Night Fever
1978,Jon Voight,Coming Home
1978,Warren Beatty,Heaven Can Wait
1978,Gary Busey,The Buddy Holly Story
1978,Robert De Niro,The Deer Hunter
1978,Laurence Olivier,The Boys from Brazil
1979,Dustin Hoffman,Kramer vs. Kramer
1979,Jack Lemmon,The China Syndrome
1979,Al Pacino,...And Justice for All
1979,Roy Scheider,All That Jazz
1979,Peter Sellers,Being There
1980,Robert De Niro,Raging Bull
1980,Robert Duvall,The Great Santini
