year,director,film
1960,Billy Wilder,The Apartment
1960,Jack Cardiff,Sons and Lovers
1960,Jules Dassin,Never on Sunday
1960,Alfred Hitchcock,Psycho
1960,Fred Zinnemann,The Sundowners
1961,Robert Wise,West Side Story
1961,Federico Fellini,La Dolce Vita
1961,Stanley Kramer,Judgment at Nuremberg
1961,Robert Rossen,The Hustler
1961,J. Lee Thompson,The Guns of Navarone
1962,David Lean,Lawrence of Arabia
1962,Pietro Germi,Divorce Italian Style
1962,Robert Mulligan,To Kill a Mockingbird
1962,Arthur Penn,The Miracle Worker
1962,Frank Perry,David and Lisa
1963,Tony Richardson,Tom Jones
1963,Federico Fellini,8
1963,Elia Kazan,America America
1963,Otto Preminger,The Cardinal
1963,Martin Ritt,Hud
1964,George Cukor,My Fair Lady
1964,Michael Cacoyannis,Zorba the Greek
1964,Peter Glenville,Becket
1964,Stanley Kubrick,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
1964,Robert Stevenson,Mary Poppins
1965,Robert Wise,The Sound of Music
1965,David Lean,Doctor Zhivago
1965,John Schlesinger,Darling
1965,Hiroshi Teshigahara,Woman in the Dunes
1965,William Wyler,The Collector
1966,Fred Zinnemann,A Man for All Seasons
1966,Michelangelo Antonioni,Blowup
1966,Richard Brooks,The Professionals
1966,Claude Lelouch,A Man and a Woman
1966,Mike Nichols,Who's Afraid of Virginia Woolf?
1967,Mike Nichols,The Graduate
1967,Richard Brooks,In Cold Blood
1967,Norman Jewison,In the Heat of the Night
1967,Stanley Kramer,Guess Who's Coming to Dinner
1967,Arthur Penn,Bonnie and Clyde
1968,Carol Reed,Oliver!
1968,Anthony Harvey,The Lion in Winter
1968,Stanley Kubrick,2001: A Space Odyssey
1968,Gillo Pontecorvo,The Battle of Algiers
1968,Franco Zeffirelli,Romeo and Juliet
1969,John Schlesinger,Midnight Cowboy
1969,Costa Gavras,Z
1969,George Roy Hill,Butch Cassidy and the Sundance Kid
1969,Arthur Penn,Alice's Restaurant
1969,Sydney Pollack,"They Shoot Horses, Don't They?"
1970,Franklin J. Schaffner,Patton
1970,Robert Altman,M*A*S*H
1970,Federico Fellini,Fellini Satyricon
1970,Arthur Hiller,Love Story
1970,Ken Russell,Women in Love
1971,William Friedkin,The French Connection
1971,Peter Bogdanovich,The Last Picture Show
1971,Norman Jewison,Fiddler on the Roof
1971,Stanley Kubrick,A Clockwork Orange
1971,John Schlesinger,Sunday Bloody Sunday
1972,Bob Fosse,Cabaret
1972,John Boorman,Deliverance
1972,Francis Ford Coppola,The Godfather
1972,Joseph L. Mankiewicz,Sleuth
1972,Jan Troell,The Emigrants
1973,George Roy Hill,The Sting
1973,Ingmar Bergman,Cries and Whispers
1973,Bernardo Bertolucci,Last Tango in Paris
1973,William Friedkin,The Exorcist
1973,George Lucas,American Graffiti
1974,Francis Ford Coppola,The Godfather Part II
1974,John Cassavetes,A Woman Under the Influence
1974,Bob Fosse,Lenny
1974,Roman Polanski,Chinatown
1974,Franois Truffaut,Day for Night
1975,Milo Forman,One Flew Over the Cuckoo's Nest
1975,Robert Altman,Nashville
1975,Federico Fellini,Amarcord
1975,Stanley Kubrick,Barry Lyndon
1975,Sidney Lumet,Dog Day Afternoon
1976,John G. Avildsen,Rocky
1976,Ingmar Bergman,Face to Face
1976,Sidney Lumet,Network
1976,Alan J. Pakula,All the President's Men
1976,Lina Wertmller,Seven Beauties
1977,Woody Allen,Annie Hall
1977,George Lucas,Star Wars
1977,Herbert Ross,The Turning Point
1977,Steven Spielberg,Close Encounters of the Third Kind
1977,Fred Zinnemann,Julia
1978,Michael Cimino,The Deer Hunter
1978,Woody Allen,Interiors
1978,Hal Ashby,Coming Home
1978,Warren Beatty,Heaven Can Wait
1978,Alan Parker,Midnight Express
1979,Robert Benton,Kramer vs. Kramer
1979,Francis Ford Coppola,Apocalypse Now
1979,Bob Fosse,All That Jazz
1979,douard Molinaro,La Cage aux Folles
1979,Peter Yates,Breaking Away
1980,Robert Redford,Ordinary People
1980,David Lynch,The Elephant Man
1980,Roman Polanski,Tess
1980,Richard Rush,The Stunt Man
1980,Martin Scorsese,Raging Bull
1981,Warren Beatty,Reds
1981,Hugh Hudson,Chariots of Fire
1981,Louis Malle,Atlantic City
1981,Mark Rydell,On Golden Pond
1981,Steven Spielberg,Raiders of the Lost Ark
1982,Richard Attenborough,Gandhi
1982,Sidney Lumet,The Verdict
1982,Wolfgang Petersen,Das Boot
1982,Sydney Pollack,Tootsie
1982,Steven Spielberg,E.T. the Extra-Terrestrial
1983,James L. Brooks,Terms of Endearment
1983,Bruce Beresford,Tender Mercies
1983,Ingmar Bergman,Fanny and Alexander
1983,Mike Nichols,Silkwood
1983,Peter Yates,The Dresser
1984,Milo Forman,Amadeus
1984,Woody Allen,Broadway Danny Rose
1984,Robert Benton,Places in the Heart
1984,Roland Joff,The Killing Fields
1984,David Lean,A Passage to India
1985,Sydney Pollack,Out of Africa
1985,Hctor Babenco,Kiss of the Spider Woman
1985,John Huston,Prizzi's Honor
1985,Akira Kurosawa,Ran
1985,Peter Weir,Witness
1986,Oliver Stone,Platoon
1986,Woody Allen,Hannah and Her Sisters
1986,James Ivory,A Room with a View
1986,Roland Joff,The Mission
1986,David Lynch,Blue Velvet
1987,Bernardo Bertolucci,The Last Emperor
1987,John Boorman,Hope and Glory
1987,Lasse Hallstrm,My Life as a Dog
1987,Norman Jewison,Moonstruck
1987,Adrian Lyne,Fatal Attraction
1988,Barry Levinson,Rain Man
1988,Charles Crichton,A Fish Called Wanda
1988,Mike Nichols,Working Girl
1988,Alan Parker,Mississippi Burning
1988,Martin Scorsese,The Last Temptation of Christ
1989,Oliver Stone,Born on the Fourth of July
1989,Woody Allen,Crimes and Misdemeanors
1989,Kenneth Branagh,Henry V
1989,Jim Sheridan,My Left Foot
1989,Peter Weir,Dead Poets Society
1990,Kevin Costner,Dances with Wolves
1990,Francis Ford Coppola,The Godfather Part III
1990,Stephen Frears,The Grifters
1990,Barbet Schroeder,Reversal of Fortune
1990,Martin Scorsese,Goodfellas
1991,Jonathan Demme,The Silence of the Lambs
1991,Barry Levinson,Bugsy
1991,Ridley Scott,Thelma and Louise
1991,John Singleton,Boyz n the Hood
1991,Oliver Stone,JFK
1992,Clint Eastwood,Unforgiven
1992,Robert Altman,The Player
1992,Martin Brest,Scent of a Woman
1992,James Ivory,Howards End
1992,Neil Jordan,The Crying Game
1993,Steven Spielberg,Schindler's List
1993,Robert Altman,Short Cuts
1993,Jane Campion,The Piano
1993,James Ivory,The Remains of the Day
1993,Jim Sheridan,In the Name of the Father
1994,Robert Zemeckis,Forrest Gump
1994,Woody Allen,Bullets over Broadway
1994,Krzysztof Kielowski,Three Colors: Red
1994,Robert Redford,Quiz Show
1994,Quentin Tarantino,Pulp Fiction
1995,Mel Gibson,Braveheart
1995,Mike Figgis,Leaving Las Vegas
1995,Chris Noonan,Babe
1995,Michael Radford,Il Postino: The Postman
1995,Tim Robbins,Dead Man Walking
1996,Anthony Minghella,The English Patient
1996,Joel Coen,Fargo
1996,Milo Forman,The People vs. Larry Flynt
1996,Scott Hicks,Shine
1996,Mike Leigh,Secrets and Lies
1997,James Cameron,Titanic
1997,Peter Cattaneo,The Full Monty
1997,Atom Egoyan,The Sweet Hereafter
1997,Curtis Hanson,L.A. Confidential
1997,Gus Van Sant,Good Will Hunting
1998,Steven Spielberg,Saving Private Ryan
1998,Roberto Benigni,Life Is Beautiful
1998,John Madden,Shakespeare in Love
1998,Terrence Malick,The Thin Red Line
1998,Peter Weir,The Truman Show
1999,Sam Mendes,American Beauty
1999,Lasse Hallstrm,The Cider House Rules
1999,Spike Jonze,Being John Malkovich
1999,Michael Mann,The Insider
1999,M. Night Shyamalan,The Sixth Sense
2000,Steven Soderbergh,Traffic
2000,Stephen Daldry,Billy Elliot
2000,Ang Lee,"Crouching Tiger, Hidden Dragon"
2000,Ridley Scott,Gladiator
2000,Steven Soderbergh,Erin Brockovich
2001,Ron Howard,A Beautiful Mind
2001,Robert Altman,Gosford Park
2001,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
2001,David Lynch,Mulholland Drive
2001,Ridley Scott,Black Hawk Down
2002,Roman Polanski,The Pianist
2002,Pedro Almodvar,Talk to Her
2002,Stephen Daldry,The Hours
2002,Rob Marshall,Chicago
2002,Martin Scorsese,Gangs of New York
2003,Peter Jackson,The Lord of the Rings: The Return of the King
2003,Sofia Coppola,Lost in Translation
2003,Clint Eastwood,Mystic River
2003,Fernando Meirelles,City of God
2003,Peter Weir,Master and Commander: The Far Side of the World
2004,Clint Eastwood,Million Dollar Baby
2004,Taylor Hackford,Ray
2004,Mike Leigh,Vera Drake
2004,Alexander Payne,Sideways
2004,Martin Scorsese,The Aviator
2005,Ang Lee,Brokeback Mountain
2005,George Clooney,"Good Night, and Good Luck"
2005,Paul Haggis,Crash
2005,Bennett Miller,Capote
2005,Steven Spielberg,Munich
2006,Martin Scorsese,The Departed
2006,Clint Eastwood,Letters from Iwo Jima
2006,Stephen Frears,The Queen
2006,Paul Greengrass,United 93
2006,Alejandro G. Irritu,Babel
2007,Joel Coen,No Country for Old Men
2007,Paul Thomas Anderson,There Will Be Blood
2007,Tony Gilroy,Michael Clayton
2007,Jason Reitman,Juno
2007,Julian Schnabel,The Diving Bell and the Butterfly
2008,Danny Boyle,Slumdog Millionaire
2008,Stephen Daldry,The Reader
2008,David Fincher,The Curious Case of Benjamin Button
2008,Ron Howard,Frost/Nixon
2008,Gus Van Sant,Milk
2009,Kathryn Bigelow,The Hurt Locker
2009,James Cameron,Avatar
2009,Lee Daniels,Precious
2009,Jason Reitman,Up in the Air
2009,Quentin Tarantino,Inglourious Basterds
2010,Tom Hooper,The King's Speech
2010,Darren Aronofsky,Black Swan
2010,Joel Coen,True Grit
2010,David Fincher,The Social Network
2010,David O. Russell,The Fighter
2011,Michel Hazanavicius,The Artist
2011,Woody Allen,Midnight in Paris
2011,Terrence Malick,The Tree of Life
2011,Alexander Payne,The Descendants
2011,Martin Scorsese,Hugo
2012,Ang Lee,Life of Pi
2012,Michael Haneke,Amour
2012,David O. Russell,Silver Linings Playbook
2012,Steven Spielberg,Lincoln
2012,Benh Zeitlin,Beasts of the Southern Wild
2013,Alfonso Cuarn,Gravity
2013,Steve McQueen,12 Years a Slave
2013,Alexander Payne,Nebraska
2013,David O. Russell,American Hustle
2013,Martin Scorsese,The Wolf of Wall Street
2014,Alejandro G. Irritu,Birdman or (The Unexpected Virtue of Ignorance)
2014,Wes Anderson,The Grand Budapest Hotel
2014,Richard Linklater,Boyhood
2014,Bennett Miller,Foxcatcher
2014,Morten Tyldum,The Imitation Game
2015,Alejandro G. Irritu,The Revenant
2015,Lenny Abrahamson,Room
2015,Tom McCarthy,Spotlight
2015,Adam McKay,The Big Short
2015,George Miller,Mad Max: Fury Road
2016,Damien Chazelle,La La Land
2016,Mel Gibson,Hacksaw Ridge
2016,Barry Jenkins,Moonlight
2016,Kenneth Lonergan,Manchester by the Sea
2016,Denis Villeneuve,Arrival
