"Year","Actress","Film","Character"
"2010 (17th)","Natalie Portman †","Black Swan","Nina Sayers"
"2010 (17th)","Annette Bening ‡","The Kids Are All Right","Nicole Allgood"
"2010 (17th)","Nicole Kidman ‡","Rabbit Hole","Becca Corbett"
"2010 (17th)","Jennifer Lawrence ‡","Winter's Bone","Ree Dolly"
"2010 (17th)","Hilary Swank","Conviction","Betty Anne Waters"
"2011 (18th)","Viola Davis ‡","The Help","Aibileen Clark"
"2011 (18th)","Glenn Close ‡","Albert Nobbs","Albert Nobbs"
"2011 (18th)","Meryl Streep †","The Iron Lady","Margaret Thatcher"
"2011 (18th)","Tilda Swinton","We Need to Talk About Kevin","Eva Khatchadourian"
"2011 (18th)","Michelle Williams ‡","My Week with Marilyn","Marilyn Monroe"
"2012 (19th)","Jennifer Lawrence †","Silver Linings Playbook","Tiffany Maxwell"
"2012 (19th)","Jessica Chastain ‡","Zero Dark Thirty","Maya"
"2012 (19th)","Marion Cotillard","Rust and Bone (De rouille et d'os)","Stéphanie"
"2012 (19th)","Helen Mirren","Hitchcock","Alma Reville"
"2012 (19th)","Naomi Watts ‡","The Impossible","Maria Bennett"
"2013 (20th)","Cate Blanchett †","Blue Jasmine","Jeanette ""Jasmine"" Francis"
"2013 (20th)","Sandra Bullock ‡","Gravity","Ryan Stone"
"2013 (20th)","Judi Dench ‡","Philomena","Philomena Lee"
"2013 (20th)","Meryl Streep ‡","August: Osage County","Violet Weston"
"2013 (20th)","Emma Thompson","Saving Mr. Banks","P. L. Travers"
"2014 (21st)","Julianne Moore †","Still Alice","Alice Daly-Howland"
"2014 (21st)","Jennifer Aniston","Cake","Claire Bennett"
"2014 (21st)","Felicity Jones ‡","The Theory of Everything","Jane Wilde Hawking"
"2014 (21st)","Rosamund Pike ‡","Gone Girl","Amy Elliott-Dunne"
"2014 (21st)","Reese Witherspoon ‡","Wild","Cheryl Strayed"
"2015 (22nd)","Brie Larson †","Room","Joy Newsome"
"2015 (22nd)","Cate Blanchett ‡","Carol","Carol Aird"
"2015 (22nd)","Helen Mirren","Woman in Gold","Maria Altmann"
"2015 (22nd)","Saoirse Ronan ‡","Brooklyn","Eilis Lacey"
"2015 (22nd)","Sarah Silverman","I Smile Back","Elaine ""Laney"" Brooks"
"2016 (23rd)","Emma Stone †","La La Land","Mia Dolan"
"2016 (23rd)","Amy Adams","Arrival","Dr. Louise Banks"
"2016 (23rd)","Emily Blunt","The Girl on the Train","Rachel Watson"
"2016 (23rd)","Natalie Portman ‡","Jackie","Jackie Kennedy"
"2016 (23rd)","Meryl Streep ‡","Florence Foster Jenkins","Florence Foster Jenkins"
