"Year","Actress","Film","Role"
"2010","Natalie Portman","Black Swan","Nina Sayers †"
"2010","Annette Bening","The Kids Are All Right","Nicole ""Nic"" Allgood ‡"
"2010","Greta Gerwig","Greenberg","Florence Marr"
"2010","Nicole Kidman","Rabbit Hole","Becca Corbett ‡"
"2010","Jennifer Lawrence","Winter's Bone","Ree Dolly ‡"
"2010","Michelle Williams","Blue Valentine","Cindy Heller ‡"
"2011","Michelle Williams","My Week with Marilyn","Marilyn Monroe ‡"
"2011","Lauren Ambrose","About Sunny","Angela"
"2011","Rachael Harris","Natural Selection","Linda White"
"2011","Adepero Oduye","Pariah","Alike"
"2011","Elizabeth Olsen","Martha Marcy May Marlene","Martha"
"2012","Jennifer Lawrence","Silver Linings Playbook","Tiffany Maxwell †"
"2012","Linda Cardellini","Return","Kelli"
"2012","Emayatzy Corinealdi","Middle of Nowhere","Ruby"
"2012","Quvenzhané Wallis","Beasts of the Southern Wild","Hushpuppy ‡"
"2012","Mary Elizabeth Winstead","Smashed","Kate Hannah"
"2013","Cate Blanchett","Blue Jasmine","Jeanette ""Jasmine"" Francis †"
"2013","Julie Delpy","Before Midnight","Céline Wallace"
"2013","Gaby Hoffmann","Crystal Fairy","Crystal Fairy"
"2013","Brie Larson","Short Term 12","Grace"
"2013","Shailene Woodley","The Spectacular Now","Aimee Finecky"
"2014","Julianne Moore","Still Alice","Dr. Alice Howland †"
"2014","Marion Cotillard","The Immigrant","Ewa Cybulska"
"2014","Rinko Kikuchi","Kumiko: The Treasure Hunter","Kumiko"
"2014","Jenny Slate","Obvious Child","Donna Stern"
"2014","Tilda Swinton","Only Lovers Left Alive","Eve"
"2015","Brie Larson","Room","Joy ""Ma"" Newsome †"
"2015","Cate Blanchett","Carol","Carol Aird ‡"
"2015","Rooney Mara","Carol","Therese Belivet ‡"
"2015","Bel Powley","The Diary of a Teenage Girl","Minnie Goetze"
"2015","Kitana Kiki Rodriguez","Tangerine","Sin-Dee Rella"
"2016","Isabelle Huppert","Elle","Michèle Leblanc ‡"
"2016","Annette Bening","20th Century Women","Dorothea Fields"
"2016","Sasha Lane","American Honey","Star"
"2016","Ruth Negga","Loving","Mildred Loving ‡"
"2016","Natalie Portman","Jackie","Jacqueline Kennedy Onassis ‡"
